code,name,chapter_key,chapter,sex_restriction
A370,TOS FERINA DEBIDA A BORDETELLA PERTUSSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A371,TOS FERINA DEBIDA A BORDETELLA PARAPERTUSSIS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A378,TOS FERINA DEBIDA A OTRAS ESPECIES DE BORDETELLA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A379,"TOS FERINA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A38X,ESCARLATINA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A390,MENINGITIS MENINGOCÓCICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A391,SÍNDROME DE WATERHOUSE-FRIDERICHSEN,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A392,MENINGOCOCEMIA AGUDA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A393,MENINGOCOCEMIA CRÓNICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A394,"MENINGOCOCEMIA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A395,ENFERMEDAD CARDÍACA DEBIDA A MENINGOCOCO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A398,OTRAS FORMAS DE ENFERMEDAD MENINGOCÓCICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A399,"ENFERMEDAD MENINGOCÓCICA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A400,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO A",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A401,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO B",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A402,"SEPSIS DEBIDA A ESTREPTOCOCO, GRUPO D Y ENTEROCOCO",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A403,SEPSIS DEBIDA A STREPTOCOCCUS PNEUMONIAE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A408,OTRAS SEPSIS ESTREPTOCÓCICAS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A409,"SEPSIS ESTREPTOCÓCICA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A410,SEPSIS DEBIDA A STAPHYLOCOCCUS AUREUS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A411,SEPSIS DEBIDA A OTRO ESTAFILOCOCO ESPECIFICADO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A412,SEPSIS DEBIDA A ESTAFILOCOCO NO ESPECIFICADO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A413,SEPSIS DEBIDA A HAEMOPHILUS INFLUENZAE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A414,SEPSIS DEBIDA A ANAEROBIOS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A415,SEPSIS DEBIDA A OTROS ORGANISMOS GRAMNEGATIVOS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
